t,price_usd_close,rhodl_ratio,sopr,sopr_adjusted,sopr_more_155,cdd90_age_adjusted,cdd90_account_based_age_adjusted,reserve_risk,marketcap_thermocap_ratio,nvt_entity_adjusted,puell_multiple,lth_net_change,net_unrealized_profit_loss,realized_profits_to_value_ratio,dormancy_flow,mvrv_z_score,profit_relative,mvrv_more_155,mvrv_less_155,transfers_volume_exchanges_net,current_adjusted,stock_to_flow_deflection,cdd,current,lth_sum,futures_funding_rate_perpetual,supply_balance_less_0001,supply_balance_0001_001,supply_balance_001_01,supply_balance_01_1,supply_balance_1_10,supply_balance_10_100,supply_balance_100_1k,supply_balance_1k_10k,supply_balance_10k_100k,supply_balance_more_100k,active_count,new_count,price_realized_usd,futures_annualized_basis_3m,balance_exchanges,revenue_sum,revenue_from_fees,volume_mined_sum,transfers_volume_miners_to_exchanges,sopr_less_155,illiquid_sum,liquid_sum,highly_liquid_sum,futures_open_interest_crypto_margin_sum,futures_open_interest_cash_margin_sum,futures_open_interest_crypto_margin_relative,futures_estimated_leverage_ratio,active_1y_2y,active_5y_7y,hash_rate_mean,difficulty_latest,channel_size_mean,channel_size_median,network_capacity_sum,channels_count,nodes_count,non_zero_count,count,amer_30d_price_change,apac_30d_price_change,emea_30d_price_change,nupl_less_155,nupl_more_155,active_more_1y_percent,active_more_2y_percent,active_more_3y_percent,active_more_5y_percent,liveliness,active_count,net_realized_profit_loss,options_25delta_skew_1_month,balance_miners_sum
2009-01-03,,,,,,,,,,,,,,,,0,,,,,50,,,50,9.28E-06,,0,0,0,0,0,50,0,0,0,0,0,1,0.04951,,,50,0,50,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-04,,,,,,,,,,,,,,,,,,,,,50,,,50,1.03E-05,,0,0,0,0,0,50,0,0,0,0,0,0,0.04951,,,0,,0,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-05,,,,,,,,,,,,,,,,,,,,,50,,,50,1.13E-05,,0,0,0,0,0,50,0,0,0,0,0,0,0.04951,,,0,,0,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-06,,,,,,,,,,,,,,,,,,,,,50,,,50,1.25E-05,,0,0,0,0,0,50,0,0,0,0,0,0,0.04951,,,0,,0,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-07,,,,,,,,,,,,,,,,,,,,,50,,,50,1.38E-05,,0,0,0,0,0,50,0,0,0,0,0,0,0.04951,,,0,,0,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-08,,,,,,,,,,,,,,,,,,,,,50,,,50,1.53E-05,,0,0,0,0,0,50,0,0,0,0,0,0,0.04951,,,0,,0,,,49.66535745,0.3346424438,1.02E-07,,,,,0,0,,,,,,,,1,0,,,,,,0,0,0,0,0,0,,,50
2009-01-09,,,,,,,,,,,,,,,,1.33E-15,,,,,750,,,750,0.000146781083,,0,0,0,0,0,100,650,0,0,0,0,2,0.04951,,,700,0,700,,,744.9803618,5.019636658,1.54E-06,,,,,0,0,128185.0205,4294967296,,,,,,15,0,,,,,,0,0,0,0,0,0,,,750
2009-01-10,,,,,,,,,,,,,,,,-2.09E-15,,,,,3800,,,3800,0.0007154287875,,0,0,0,0,0,250,0,3550,0,0,0,3,0.04951,,,3050,0,3050,,,3774.567166,25.43282573,7.78E-06,,,,,0,0,1676937.683,4294967296,,,,,,76,0,,,,,,0,0,0,0,0,0,,,3800
2009-01-11,,,,,,,,,,,,,,,,-9.41E-15,,,,,8450,,,8450,0.001584155634,,0,0,0,0,0,600,0,7850,0,0,0,7,0.04951,,,4650,0,4650,,,8393.44541,56.55457301,1.73E-05,,,,,0,0,4679435.777,4294967296,,,,,,169,0,,,,,,0,0,0,0,0,0,,,8450
2009-01-12,,,,,,,,,,,,,,,,-1.15E-14,,,,,13150,,36.90174769,13150,0.002691444318,,0,0,0,0,1,1781,0,0,11368,0,8,28,0.04951,,,4700,0,4700,,,13057.62653,92.37344388,2.97E-05,,,,,0,0,4653054.489,4294967296,,,,,,268,7,,,,,,0,0,0,0,0.005998386911,6,,,13118
2009-01-13,,,,,,,,,,,,,,,,-1.24E-14,,,,,19300,,0,19300,0.003974493244,,0,0,0,0,1,2481,100,0,16718,0,0,14,0.04951,,,6150,0,6150,,,19166.5003,133.4996531,4.22E-05,,,,,0,0,6070590.274,4294967296,,,,,,391,0,,,,,,0,0,0,0,0.002788019976,0,,,19268
2009-01-14,,,,,,,,,,,,,,,,-1.30E-14,,,,,25750,,76.67424769,25750,0.005804660392,,0,0,0,0,1,2431,1250,0,22068,0,4,8,0.04951,,,6450,0,6450,,,25573.34922,176.6507202,5.54E-05,,,,,0,0,6434818.949,4294967296,,,,,,518,1,,,,,,0,0,0,0,0.003010611876,2,,,25668
2009-01-15,,,,,,,,,,,,,,,,-1.34E-14,,,,,32050,,575.7053009,32050,0.007280895025,,0,0,0,0,1,2671,1835,0,27543,0,14,10,0.04951,,,6300,0,6300,,,31808.75277,241.2469855,0.0002404859297,,,,,0,0,6294675.933,4294967296,,,,,,643,8,,,,,,0,0,0,0,0.01022555295,8,,,31618
2009-01-16,,,,,,,,,,,,,,,,-1.36E-14,,,,,37450,,408.681713,37450,0.009327814596,,0,0,0,0,1,2871,2585,0,31993,0,6,7,0.04951,,,5400,0,5400,,,37182.48821,267.5116883,0.0001051447952,,,,,0,0,5328131.452,4294967296,,,,,,749,2,,,,,,0,0,0,0,0.01104056965,4,,,36818
2009-01-17,,,,,,,,,,,,,,,,-1.34E-14,,,,,42900,,0,42900,0.01074398031,,0,0,0,0,1,3271,3385,0,36243,0,0,8,0.04951,,,5450,0,5450,,,42597.55949,302.4404076,0.0001074033841,,,,,0,0,5410403.976,4294967296,,,,,,858,0,,,,,,0,0,0,0,0.008414999824,0,,,42268
2009-01-18,,,,,,,,,,,,,,,,-1.38E-14,,,,,48250,,336.0804398,48250,0.01325274529,,0,0,0,0,1,3621,4135,0,40493,0,4,11,0.04951,,,5350,0,5350,,,47911.76399,338.2358875,0.0001183417117,,,,,0,0,5333196.016,4294967296,,,,,,963,1,,,,,,0,0,0,0,0.00820223345,2,,,47468
2009-01-19,,,,,,,,,,,,,,,,-1.36E-14,,,,,54000,,3080.106481,54000,0.01483237091,,0,0,0,0,1,4371,3060,1675,44893,0,18,15,0.04951,,,5750,0,5750,,,53630.92139,369.0784905,0.0001153230298,,,,,0,0,5758671.319,4294967296,,,,,,1063,2,,,,,,0,0,0,0,0.01839949292,3,,,52443
2009-01-20,,,,,,,,,,,,,,,,-1.39E-14,,,,,59700,,1507.129051,59700,0.01795817521,,0,0,0,0,1,4671,3660,2125,49243,0,9,11,0.04951,,,5700,0,5700,,,59292.77977,407.2200986,0.0001269828195,,,,,0,0,5619555.736,4294967296,,,,,,1170,1,,,,,,0,0,0,0,0.01988536826,2,,,57743
